Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
Ca4As4,26.5,26.5,33,20,6.5,9.1924,1.5,1.5,2,1,0.5,0.7071,-7.5,-7.5,-6,-9,1.5,2.1213,0.0,0.0,1,-1,1.0,1.4142,-4.0,-4.0,-3,-5,1.0,1.4142,1.5,1.5,4,-1,2.5,3.5355,0.5,0.5,1,0,0.5,0.7071,1.5,1.5,2,1,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,8.5,8.5,15,2,6.5,9.1924,8.5,8.5,15,2,6.5,9.1924,1.5,1.5,3,0,1.5,2.1213,94.5,94.5,160,29,65.5,92.631,-0.74,0.35
Mn2Se2,29.5,29.5,34,25,4.5,6.364,1.5,1.5,2,1,0.5,0.7071,-8.5,-8.5,-7,-10,1.5,2.1213,-1.5,-1.5,-1,-2,0.5,0.7071,-5.0,-5.0,-4,-6,1.0,1.4142,2.5,2.5,4,1,1.5,2.1213,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,11.5,11.5,16,7,4.5,6.364,11.5,11.5,16,7,4.5,6.364,3.5,3.5,5,2,1.5,2.1213,45.5,45.5,65,26,19.5,27.5772,-0.31,0.19
O8Te4,30.0,22.6667,52,8,22.0,32.7956,2.5,2.6667,3,2,0.5,0.7454,-12.5,-13.6667,-9,-16,3.5,5.2175,-2.0,-2.0,-2,-2,0.0,0.0,-7.0,-7.6667,-5,-9,2.0,2.9814,3.5,3.6667,4,3,0.5,0.7454,0.0,0.0,0,0,0.0,0.0,0.5,0.3333,1,0,0.5,0.7454,0.5,0.3333,1,0,0.5,0.7454,0.5,0.3333,1,0,0.5,0.7454,11.0,9.3333,16,6,5.0,7.4536,16.0,16.0,16,16,0.0,0.0,2.0,2.0,2,2,0.0,0.0,21.0,15.6667,37,5,16.0,23.8514,-1.09,-0.0
Ru2F8,26.5,16.0,44,9,17.5,28.8617,2.5,2.8,3,2,0.5,0.8246,-13.0,-16.6,-7,-19,6.0,9.8955,-2.5,-3.4,-1,-4,1.5,2.4739,-7.0,-9.4,-3,-11,4.0,6.597,1.0,1.0,1,1,0.0,0.0,0.5,0.2,1,0,0.5,0.8246,0.5,0.2,1,0,0.5,0.8246,0.5,0.2,1,0,0.5,0.8246,0.0,0.0,0,0,0.0,0.0,7.5,7.2,8,7,0.5,0.8246,12.5,15.2,17,8,4.5,7.4216,2.5,1.6,4,1,1.5,2.4739,34.0,15.4,65,3,31.0,51.1265,-1.85,-0.07
V2F8,16.0,11.8,23,9,7.0,11.5447,2.0,2.6,3,1,1.0,1.6492,-13.0,-16.6,-7,-19,6.0,9.8955,-2.0,-3.2,0,-4,2.0,3.2985,-7.5,-9.6,-4,-11,3.5,5.7723,0.5,0.8,1,0,0.5,0.8246,0.5,0.2,1,0,0.5,0.8246,0.5,0.2,1,0,0.5,0.8246,0.5,0.2,1,0,0.5,0.8246,0.0,0.0,0,0,0.0,0.0,6.0,6.6,7,5,1.0,1.6492,11.0,14.6,17,5,6.0,9.8955,4.0,2.2,7,1,3.0,4.9477,42.0,18.6,81,3,39.0,64.3204,-2.93,-0.09
Zr2Cl2,28.5,28.5,40,17,11.5,16.2635,2.0,2.0,3,1,1.0,1.4142,-9.5,-9.5,-6,-13,3.5,4.9497,-1.5,-1.5,0,-3,1.5,2.1213,-5.5,-5.5,-3,-8,2.5,3.5355,2.0,2.0,4,0,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,5.5,5.5,7,4,1.5,2.1213,10.5,10.5,17,4,6.5,9.1924,4.5,4.5,8,1,3.5,4.9497,67.5,67.5,121,14,53.5,75.6604,-1.27,0.04
Au4I4Te4,61.3333,61.3333,79,52,12.4989,21.6487,2.0,2.0,2,2,0.0,0.0,-9.6667,-9.6667,-9,-11,0.9428,1.633,-2.3333,-2.3333,-2,-3,0.4714,0.8165,-5.6667,-5.6667,-5,-7,0.9428,1.633,2.3333,2.3333,4,0,1.6997,2.9439,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,19.3333,19.3333,25,16,4.0277,6.9761,14.6667,14.6667,17,11,2.6247,4.5461,1.3333,1.3333,2,1,0.4714,0.8165,35.6667,35.6667,37,34,1.2472,2.1602,-0.16,-0.05
Bi2MnTe4,53.3333,57.0,83,25,23.6972,41.5331,1.6667,1.8571,2,1,0.4714,0.8806,-7.6667,-8.1429,-7,-9,0.9428,1.8295,-1.3333,-1.5714,-1,-2,0.4714,0.9147,-4.3333,-4.5714,-4,-5,0.4714,0.9147,2.0,2.4286,3,1,0.8165,1.5972,0.3333,0.1429,1,0,0.4714,0.8806,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.6667,0.8571,1,0,0.4714,0.8806,17.3333,18.4286,29,7,9.0308,15.7564,12.6667,14.4286,16,7,4.0277,7.6145,3.3333,2.7143,5,2,1.2472,2.4117,50.6667,44.7143,65,37,11.4407,22.3374,-0.17,0.06
CrGa2S4,23.6667,21.4286,31,16,6.1283,11.3002,1.3333,1.5714,2,1,0.4714,0.9147,-7.6667,-8.7143,-5,-11,2.4944,4.6861,-0.6667,-1.1429,0,-2,0.9428,1.8295,-4.3333,-5.1429,-2,-7,2.0548,3.8253,2.3333,3.1429,4,0,1.6997,3.2608,0.6667,0.4286,1,0,0.4714,0.9147,0.6667,0.4286,1,0,0.4714,0.9147,1.0,1.0,1,1,0.0,0.0,0.3333,0.2857,1,0,0.4714,0.8207,8.3333,8.0,13,6,3.2998,5.7446,11.6667,13.7143,16,6,4.1899,8.0774,4.3333,3.4286,6,2,1.6997,3.335,49.3333,36.5714,78,19,24.1155,47.2575,-0.64,0.05
Cu2S4Sb2,32.0,28.0,51,16,14.4453,25.9615,1.6667,1.75,2,1,0.4714,0.8292,-9.0,-9.5,-8,-11,1.4142,2.5981,-1.3333,-1.5,-1,-2,0.4714,0.866,-5.0,-5.5,-4,-7,1.4142,2.5981,3.0,3.25,4,1,1.4142,2.4875,0.6667,0.5,1,0,0.4714,0.866,0.6667,0.5,1,0,0.4714,0.866,1.0,1.0,1,1,0.0,0.0,0.6667,0.5,1,0,0.4714,0.866,10.6667,9.5,15,6,3.6818,6.6895,14.0,14.5,16,11,2.1602,3.8406,2.0,2.0,3,1,0.8165,1.4142,38.0,33.25,53,19,14.1657,25.8783,-0.21,0.02
