Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
As4O6,20.5,18.0,33,8,12.5,18.0278,2.5,2.6,3,2,0.5,0.7211,-12.5,-13.2,-9,-16,3.5,5.0478,-1.5,-1.6,-1,-2,0.5,0.7211,-7.0,-7.4,-5,-9,2.0,2.8844,4.0,4.0,4,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.4,1,0,0.5,0.7211,0.5,0.4,1,0,0.5,0.7211,0.5,0.4,1,0,0.5,0.7211,10.5,9.6,15,6,4.5,6.49,15.5,15.6,16,15,0.5,0.7211,2.5,2.4,3,2,0.5,0.7211,17.0,14.6,29,5,12.0,17.3066,-1.22,0.0
As4S6,24.5,22.8,33,16,8.5,12.2589,2.0,2.0,2,2,0.0,0.0,-10.0,-10.2,-9,-11,1.0,1.4422,-1.5,-1.6,-1,-2,0.5,0.7211,-6.0,-6.2,-5,-7,1.0,1.4422,4.0,4.0,4,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.5,0.4,1,0,0.5,0.7211,1.0,1.0,1,1,0.0,0.0,0.5,0.4,1,0,0.5,0.7211,10.5,9.6,15,6,4.5,6.49,15.5,15.6,16,15,0.5,0.7211,2.5,2.4,3,2,0.5,0.7211,24.0,23.0,29,19,5.0,7.2111,-0.14,0.0
CuBr,32.0,32.0,35,29,3.0,4.2426,1.5,1.5,2,1,0.5,0.7071,-10.0,-10.0,-8,-12,2.0,2.8284,-2.0,-2.0,-1,-3,1.0,1.4142,-5.5,-5.5,-4,-7,1.5,2.1213,3.0,3.0,5,1,2.0,2.8284,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,14.0,14.0,17,11,3.0,4.2426,14.0,14.0,17,11,3.0,4.2426,1.0,1.0,1,1,0.0,0.0,37.0,37.0,53,21,16.0,22.6274,-0.22,0.06
Hg4I8,66.5,62.0,80,53,13.5,20.1246,2.0,2.0,2,2,0.0,0.0,-10.5,-10.6667,-10,-11,0.5,0.7454,-1.0,-1.6667,1,-3,2.0,2.9814,-6.5,-6.6667,-6,-7,0.5,0.7454,2.0,2.6667,4,0,2.0,2.9814,0.5,0.3333,1,0,0.5,0.7454,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,21.5,20.0,26,17,4.5,6.7082,14.5,15.3333,17,12,2.5,3.7268,0.5,0.6667,1,0,0.5,0.7454,34.0,34.0,34,34,0.0,0.0,-0.36,0.0
In2Se3,41.5,40.0,49,34,7.5,10.8167,1.5,1.6,2,1,0.5,0.7211,-7.5,-8.0,-5,-10,2.5,3.6056,-1.0,-1.2,0,-2,1.0,1.4422,-4.0,-4.4,-2,-6,2.0,2.8844,3.0,3.2,4,2,1.0,1.4422,0.5,0.4,1,0,0.5,0.7211,0.5,0.4,1,0,0.5,0.7211,1.0,1.0,1,1,0.0,0.0,0.5,0.4,1,0,0.5,0.7211,14.5,14.8,16,13,1.5,2.1633,14.5,14.8,16,13,1.5,2.1633,3.5,3.2,5,2,1.5,2.1633,44.0,40.4,62,26,18.0,25.96,-0.5,0.04
Mo2O6,25.0,16.5,42,8,17.0,26.8794,2.5,2.75,3,2,0.5,0.7906,-11.0,-13.5,-6,-16,5.0,7.9057,-1.5,-1.75,-1,-2,0.5,0.7906,-6.5,-7.75,-4,-9,2.5,3.9528,2.0,3.0,4,0,2.0,3.1623,0.5,0.25,1,0,0.5,0.7906,0.5,0.25,1,0,0.5,0.7906,0.5,0.25,1,0,0.5,0.7906,0.0,0.0,0,0,0.0,0.0,6.0,6.0,6,6,0.0,0.0,11.0,13.5,16,6,5.0,7.9057,4.0,3.0,6,2,2.0,3.1623,45.5,25.25,86,5,40.5,64.0361,-2.0,0.0
Pb4O4,45.0,45.0,82,8,37.0,52.3259,2.5,2.5,3,2,0.5,0.7071,-11.0,-11.0,-6,-16,5.0,7.0711,-1.0,-1.0,0,-2,1.0,1.4142,-6.0,-6.0,-3,-9,3.0,4.2426,3.0,3.0,4,2,1.0,1.4142,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,17.0,17.0,28,6,11.0,15.5563,15.0,15.0,16,14,1.0,1.4142,3.0,3.0,4,2,1.0,1.4142,26.0,26.0,47,5,21.0,29.6985,-1.16,0.01
Pd4I8,49.5,50.6667,53,46,3.5,5.2175,2.0,2.0,2,2,0.0,0.0,-9.5,-10.0,-8,-11,1.5,2.2361,-1.5,-2.0,0,-3,1.5,2.2361,-5.5,-6.0,-4,-7,1.5,2.2361,0.5,1.6667,4,-3,3.5,5.2175,0.5,0.3333,1,0,0.5,0.7454,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.6667,1,0,0.5,0.7454,13.5,14.6667,17,10,3.5,5.2175,13.5,14.6667,17,10,3.5,5.2175,0.5,0.6667,1,0,0.5,0.7454,33.0,33.3333,34,32,1.0,1.4907,-0.25,0.0
Ta4Te6,62.5,60.4,73,52,10.5,15.1433,1.5,1.6,2,1,0.5,0.7211,-8.0,-8.2,-7,-9,1.0,1.4422,-1.0,-1.2,0,-2,1.0,1.4422,-4.0,-4.2,-3,-5,1.0,1.4422,1.5,1.8,3,0,1.5,2.1633,0.5,0.4,1,0,0.5,0.7211,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.5,0.6,1,0,0.5,0.7211,17.5,17.2,19,16,1.5,2.1633,10.5,11.6,16,5,5.5,7.9322,4.5,4.0,7,2,2.5,3.6056,62.5,57.4,88,37,25.5,36.7766,-0.39,0.0
V4O8,15.5,13.0,23,8,7.5,11.1803,2.0,2.3333,3,1,1.0,1.4907,-11.5,-13.0,-7,-16,4.5,6.7082,-1.0,-1.3333,0,-2,1.0,1.4907,-6.5,-7.3333,-4,-9,2.5,3.7268,2.0,2.6667,4,0,2.0,2.9814,0.5,0.3333,1,0,0.5,0.7454,0.5,0.3333,1,0,0.5,0.7454,0.5,0.3333,1,0,0.5,0.7454,0.0,0.0,0,0,0.0,0.0,5.5,5.6667,6,5,0.5,0.7454,10.5,12.3333,16,5,5.5,8.1989,4.5,3.6667,7,2,2.5,3.7268,43.0,30.3333,81,5,38.0,56.6471,-2.24,0.08
