Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
AlTe4,32.5,44.2,52,13,19.5,32.1602,1.5,1.8,2,1,0.5,0.8246,-7.0,-8.2,-5,-9,2.0,3.2985,-1.0,-1.6,0,-2,1.0,1.6492,-3.5,-4.4,-2,-5,1.5,2.4739,3.0,3.0,3,3,0.0,0.0,0.5,0.2,1,0,0.5,0.8246,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,9.5,13.4,16,3,6.5,10.7201,14.5,15.4,16,13,1.5,2.4739,3.5,2.6,5,2,1.5,2.4739,46.0,40.6,55,37,9.0,14.8432,0.01,0.24
Bi4Cu4,56.0,56.0,83,29,27.0,38.1838,1.5,1.5,2,1,0.5,0.7071,-7.5,-7.5,-7,-8,0.5,0.7071,-1.0,-1.0,-1,-1,0.0,0.0,-4.0,-4.0,-4,-4,0.0,0.0,1.5,1.5,2,1,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,20.0,20.0,29,11,9.0,12.7279,13.0,13.0,15,11,2.0,2.8284,2.0,2.0,3,1,1.0,1.4142,51.5,51.5,53,50,1.5,2.1213,0.05,0.05
Cu2S,22.5,24.6667,29,16,6.5,9.6896,1.5,1.3333,2,1,0.5,0.7454,-9.5,-9.0,-8,-11,1.5,2.2361,-1.5,-1.3333,-1,-2,0.5,0.7454,-5.5,-5.0,-4,-7,1.5,2.2361,2.5,2.0,4,1,1.5,2.2361,0.5,0.6667,1,0,0.5,0.7454,0.5,0.6667,1,0,0.5,0.7454,1.0,1.0,1,1,0.0,0.0,0.5,0.6667,1,0,0.5,0.7454,8.5,9.3333,11,6,2.5,3.7268,13.5,12.6667,16,11,2.5,3.7268,1.5,1.3333,2,1,0.5,0.7454,36.0,41.6667,53,19,17.0,25.3421,0.12,0.26
Ni2Sb2Si2,31.0,31.0,51,14,15.2534,26.4197,1.3333,1.3333,2,1,0.4714,0.8165,-7.3333,-7.3333,-7,-8,0.4714,0.8165,-0.6667,-0.6667,0,-1,0.4714,0.8165,-4.0,-4.0,-4,-4,0.0,0.0,2.3333,2.3333,4,0,1.6997,2.9439,0.6667,0.6667,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,9.6667,9.6667,15,4,4.4969,7.7889,13.0,13.0,15,10,2.1602,3.7417,3.0,3.0,4,2,0.8165,1.4142,42.3333,42.3333,48,37,4.4969,7.7889,0.04,0.39
FeZn2C6N6,17.25,10.9333,30,6,10.8484,25.1068,1.75,2.2,3,1,0.8292,1.8868,-9.75,-10.8667,-7,-13,2.1651,4.8722,-0.25,-0.3333,1,-1,0.8292,1.6667,-5.25,-5.7333,-4,-7,1.0897,2.3842,1.75,2.8,4,0,1.7854,4.1425,0.5,0.2,1,0,0.5,1.1662,0.5,0.2,1,0,0.5,1.1662,0.5,0.2,1,0,0.5,1.1662,0.25,0.1333,1,0,0.433,0.8969,7.25,5.7333,12,4,3.1125,6.9247,12.25,13.7333,15,8,2.681,6.1279,2.75,3.0667,4,0,1.6394,3.3393,28.5,16.1333,58,7,20.7906,48.3812,0.14,0.2
As4,33.0,33.0,33,33,0.0,0.0,2.0,2.0,2,2,0.0,0.0,-9.0,-9.0,-9,-9,0.0,0.0,-1.0,-1.0,-1,-1,0.0,0.0,-5.0,-5.0,-5,-5,0.0,0.0,4.0,4.0,4,4,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,15.0,15.0,15,15,0.0,0.0,15.0,15.0,15,15,0.0,0.0,3.0,3.0,3,3,0.0,0.0,29.0,29.0,29,29,0.0,0.0,0.04,0.04
Ge2,32.0,32.0,32,32,0.0,0.0,2.0,2.0,2,2,0.0,0.0,-7.0,-7.0,-7,-7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-3.0,-3.0,-3,-3,0.0,0.0,3.0,3.0,3,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,14.0,14.0,14,14,0.0,0.0,14.0,14.0,14,14,0.0,0.0,4.0,4.0,4,4,0.0,0.0,39.0,39.0,39,39,0.0,0.0,0.48,0.48
Si2,14.0,14.0,14,14,0.0,0.0,1.0,1.0,1,1,0.0,0.0,-7.0,-7.0,-7,-7,0.0,0.0,0.0,0.0,0,0,0.0,0.0,-4.0,-4.0,-4,-4,0.0,0.0,3.0,3.0,3,3,0.0,0.0,0.0,0.0,0,0,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,4.0,4.0,4,4,0.0,0.0,14.0,14.0,14,14,0.0,0.0,4.0,4.0,4,4,0.0,0.0,37.0,37.0,37,37,0.0,0.0,0.64,0.64
W3C2,40.0,46.8,74,6,34.0,49.0355,2.0,2.0,2,2,0.0,0.0,-9.0,-8.8,-8,-10,1.0,1.4422,0.0,0.0,0,0,0.0,0.0,-4.5,-4.4,-4,-5,0.5,0.7211,1.5,1.2,3,0,1.5,2.1633,0.5,0.6,1,0,0.5,0.7211,0.5,0.6,1,0,0.5,0.7211,0.5,0.6,1,0,0.5,0.7211,0.0,0.0,0,0,0.0,0.0,12.0,13.6,20,4,8.0,11.5378,10.0,9.2,14,6,4.0,5.7689,5.0,5.2,6,4,1.0,1.4422,43.0,49.4,75,11,32.0,46.1511,0.59,0.75
W3N2,40.5,47.2,74,7,33.5,48.3144,2.5,2.4,3,2,0.5,0.7211,-10.5,-10.0,-8,-13,2.5,3.6056,-0.5,-0.4,0,-1,0.5,0.7211,-5.5,-5.2,-4,-7,1.5,2.1633,2.0,1.6,4,0,2.0,2.8844,0.5,0.6,1,0,0.5,0.7211,0.5,0.6,1,0,0.5,0.7211,0.5,0.6,1,0,0.5,0.7211,0.0,0.0,0,0,0.0,0.0,12.5,14.0,20,5,7.5,10.8167,10.5,9.6,15,6,4.5,6.49,4.5,4.8,6,3,1.5,2.1633,41.0,47.8,75,7,34.0,49.0355,0.54,0.68
