Material,Z_Average,Z_Weighted_Average,Z_Max,Z_Min,Z_Std_dev,Z_Weighted_Std_dev,Electronegativity_Average,Electronegativity_Weighted_Average,Electronegativity_Max,Electronegativity_Min,Electronegativity_Std_dev,Electronegativity_Weighted_Std_dev,IonizationPotential_Average,IonizationPotential_Weighted_Average,IonizationPotential_Max,IonizationPotential_Min,IonizationPotential_Std_dev,IonizationPotential_Weighted_Std_dev,ElectronAffinity_Average,ElectronAffinity_Weighted_Average,ElectronAffinity_Max,ElectronAffinity_Min,ElectronAffinity_Std_dev,ElectronAffinity_Weighted_Std_dev,HOMO_Average,HOMO_Weighted_Average,HOMO_Max,HOMO_Min,HOMO_Std_dev,HOMO_Weighted_Std_dev,LUMO_Average,LUMO_Weighted_Average,LUMO_Max,LUMO_Min,LUMO_Std_dev,LUMO_Weighted_Std_dev,r_s_orbital_Average,r_s_orbital_Weighted_Average,r_s_orbital_Max,r_s_orbital_Min,r_s_orbital_Std_dev,r_s_orbital_Weighted_Std_dev,r_p_orbital_Average,r_p_orbital_Weighted_Average,r_p_orbital_Max,r_p_orbital_Min,r_p_orbital_Std_dev,r_p_orbital_Weighted_Std_dev,r_atomic_nonbonded_Average,r_atomic_nonbonded_Weighted_Average,r_atomic_nonbonded_Max,r_atomic_nonbonded_Min,r_atomic_nonbonded_Std_dev,r_atomic_nonbonded_Weighted_Std_dev,r_valence_lastorbital_Average,r_valence_lastorbital_Weighted_Average,r_valence_lastorbital_Max,r_valence_lastorbital_Min,r_valence_lastorbital_Std_dev,r_valence_lastorbital_Weighted_Std_dev,Valence_Average,Valence_Weighted_Average,Valence_Max,Valence_Min,Valence_Std_dev,Valence_Weighted_Std_dev,PeriodicColumn_upto18_Average,PeriodicColumn_upto18_Weighted_Average,PeriodicColumn_upto18_Max,PeriodicColumn_upto18_Min,PeriodicColumn_upto18_Std_dev,PeriodicColumn_upto18_Weighted_Std_dev,NumberUnfilledOrbitals_Average,NumberUnfilledOrbitals_Weighted_Average,NumberUnfilledOrbitals_Max,NumberUnfilledOrbitals_Min,NumberUnfilledOrbitals_Std_dev,NumberUnfilledOrbitals_Weighted_Std_dev,Polarizability_Average,Polarizability_Weighted_Average,Polarizability_Max,Polarizability_Min,Polarizability_Std_dev,Polarizability_Weighted_Std_dev,Heat of formation,Energy above convex hull
In2Te4,50.5,51.0,52,49,1.5,2.2361,1.5,1.6667,2,1,0.5,0.7454,-7.0,-7.6667,-5,-9,2.0,2.9814,-1.0,-1.3333,0,-2,1.0,1.4907,-3.5,-4.0,-2,-5,1.5,2.2361,2.5,2.6667,3,2,0.5,0.7454,0.5,0.3333,1,0,0.5,0.7454,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,14.5,15.0,16,13,1.5,2.2361,14.5,15.0,16,13,1.5,2.2361,3.5,3.0,5,2,1.5,2.2361,49.5,45.3333,62,37,12.5,18.6339,-0.07,0.2
RuSe2,39.0,37.3333,44,34,5.0,7.4536,2.0,2.0,2,2,0.0,0.0,-8.5,-9.0,-7,-10,1.5,2.2361,-1.5,-1.6667,-1,-2,0.5,0.7454,-4.5,-5.0,-3,-6,1.5,2.2361,2.5,3.0,4,1,1.5,2.2361,0.5,0.3333,1,0,0.5,0.7454,0.5,0.3333,1,0,0.5,0.7454,1.0,1.0,1,1,0.0,0.0,0.0,0.0,0,0,0.0,0.0,12.0,13.3333,16,8,4.0,5.9628,12.0,13.3333,16,8,4.0,5.9628,3.0,2.6667,4,2,1.0,1.4907,45.5,39.0,65,26,19.5,29.0689,-0.11,0.31
Cd4Br4O4,30.3333,30.3333,48,8,16.66,28.856,2.0,2.0,3,1,0.8165,1.4142,-12.3333,-12.3333,-9,-16,2.8674,4.9666,-1.3333,-1.3333,1,-3,1.6997,2.9439,-7.0,-7.0,-5,-9,1.633,2.8284,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,11.6667,11.6667,17,6,4.4969,7.7889,15.0,15.0,17,12,2.1602,3.7417,1.0,1.0,2,0,0.8165,1.4142,24.0,24.0,46,5,16.8721,29.2233,-0.47,0.33
Hf3N2,39.5,46.0,72,7,32.5,46.8722,2.0,1.8,3,1,1.0,1.4422,-9.5,-8.8,-6,-13,3.5,5.0478,-0.5,-0.4,0,-1,0.5,0.7211,-4.5,-4.0,-2,-7,2.5,3.6056,2.0,1.6,4,0,2.0,2.8844,0.5,0.6,1,0,0.5,0.7211,0.5,0.6,1,0,0.5,0.7211,0.5,0.6,1,0,0.5,0.7211,0.0,0.0,0,0,0.0,0.0,11.5,12.8,18,5,6.5,9.3744,9.5,8.4,15,4,5.5,7.9322,5.5,6.0,8,3,2.5,3.6056,58.0,68.2,109,7,51.0,73.5532,-0.88,0.48
Nb2As2Ge2,35.3333,35.3333,41,32,4.0277,6.9761,1.6667,1.6667,2,1,0.4714,0.8165,-7.6667,-7.6667,-7,-9,0.9428,1.633,-0.3333,-0.3333,0,-1,0.4714,0.8165,-4.0,-4.0,-3,-5,0.8165,1.4142,2.3333,2.3333,4,0,1.6997,2.9439,0.3333,0.3333,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,11.3333,11.3333,15,5,4.4969,7.7889,11.3333,11.3333,15,5,4.4969,7.7889,4.6667,4.6667,7,3,1.6997,2.9439,58.0,58.0,106,29,34.1858,59.2115,-0.23,0.24
Nb2Ge2Sb2,41.3333,41.3333,51,32,7.7603,13.4412,1.6667,1.6667,2,1,0.4714,0.8165,-7.3333,-7.3333,-7,-8,0.4714,0.8165,-0.3333,-0.3333,0,-1,0.4714,0.8165,-3.6667,-3.6667,-3,-4,0.4714,0.8165,2.3333,2.3333,4,0,1.6997,2.9439,0.6667,0.6667,1,0,0.4714,0.8165,1.0,1.0,1,1,0.0,0.0,1.0,1.0,1,1,0.0,0.0,0.6667,0.6667,1,0,0.4714,0.8165,11.3333,11.3333,15,5,4.4969,7.7889,11.3333,11.3333,15,5,4.4969,7.7889,4.6667,4.6667,7,3,1.6997,2.9439,62.3333,62.3333,106,39,30.9013,53.5226,-0.11,0.24
Zn4Br4O4,24.3333,24.3333,35,8,11.7284,20.3142,2.0,2.0,3,1,0.8165,1.4142,-12.3333,-12.3333,-9,-16,2.8674,4.9666,-1.3333,-1.3333,1,-3,1.6997,2.9439,-7.0,-7.0,-5,-9,1.633,2.8284,3.0,3.0,5,0,2.1602,3.7417,0.3333,0.3333,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,0.6667,0.6667,1,0,0.4714,0.8165,0.3333,0.3333,1,0,0.4714,0.8165,11.6667,11.6667,17,6,4.4969,7.7889,15.0,15.0,17,12,2.1602,3.7417,1.0,1.0,2,0,0.8165,1.4142,21.3333,21.3333,38,5,13.4743,23.3381,-0.62,0.36
Bi2F2,46.0,46.0,83,9,37.0,52.3259,2.5,2.5,3,2,0.5,0.7071,-13.0,-13.0,-7,-19,6.0,8.4853,-2.5,-2.5,-1,-4,1.5,2.1213,-7.5,-7.5,-4,-11,3.5,4.9497,1.5,1.5,2,1,0.5,0.7071,0.0,0.0,0,0,0.0,0.0,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,0.5,0.5,1,0,0.5,0.7071,18.0,18.0,29,7,11.0,15.5563,16.0,16.0,17,15,1.0,1.4142,2.0,2.0,3,1,1.0,1.4142,26.5,26.5,50,3,23.5,33.234,-1.21,0.48
Ti3B2F2S2,13.0,14.0,22,5,6.5192,13.1909,2.0,1.8889,3,1,0.7071,1.4316,-11.25,-10.7778,-7,-19,4.7104,9.4679,-1.5,-1.3333,0,-4,1.6583,3.3333,-6.25,-6.0,-3,-11,3.1125,6.245,1.75,1.5556,4,0,1.479,2.9835,0.25,0.3333,1,0,0.433,0.8819,0.25,0.3333,1,0,0.433,0.8819,0.5,0.5556,1,0,0.5,1.0062,0.0,0.0,0,0,0.0,0.0,5.0,4.8889,7,3,1.5811,3.1701,12.5,11.5556,17,4,5.1235,10.4196,4.0,4.4444,8,1,2.7386,5.5489,33.5,40.0,92,3,34.442,70.0999,-0.98,0.9
V3B2F2Se2,17.75,18.3333,34,5,11.519,23.0675,2.0,1.8889,3,1,0.7071,1.4316,-11.0,-10.5556,-7,-19,4.7434,9.5284,-1.5,-1.3333,0,-4,1.6583,3.3333,-6.0,-5.7778,-3,-11,3.0822,6.1804,1.75,1.5556,4,0,1.479,2.9835,0.25,0.3333,1,0,0.433,0.8819,0.25,0.3333,1,0,0.433,0.8819,0.5,0.5556,1,0,0.5,1.0062,0.0,0.0,0,0,0.0,0.0,7.75,7.4444,16,3,4.9687,9.9561,12.75,11.8889,17,5,4.7104,9.5768,3.75,4.1111,7,1,2.3848,4.8241,32.5,37.8889,81,3,29.2447,59.474,-0.71,0.69
